layer,head,head_index,n_prompts,period_mean,period_min,period_max,period_std,period_q25,period_q75,period_iqr,period_range,dominant_period,dominant_period_count
7,1,85,150,7.727370851370849,3.090909090909091,9.714285714285715,1.8942123269160147,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,6.181818181818182,77
7,2,86,150,6.276017316017315,6.181818181818182,9.714285714285715,0.5691062346004718,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,146
7,3,87,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
7,4,88,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
7,5,89,150,3.6689845758927024,2.0,9.714285714285715,1.3884719890946238,2.9901185770750986,3.7777777777777777,0.787659200702679,7.714285714285715,3.090909090909091,27
7,6,90,150,3.4270187230601423,2.0,9.714285714285715,1.2501703717043395,2.9565217391304346,3.238095238095238,0.28157349896480355,7.714285714285715,3.090909090909091,50
7,7,91,150,7.5241558441558425,6.181818181818182,9.714285714285715,1.7146118540608601,6.181818181818182,9.714285714285715,3.5324675324675336,3.5324675324675336,6.181818181818182,93
7,8,92,150,5.8817496577496575,3.090909090909091,7.555555555555555,0.8378623355189138,6.181818181818182,6.181818181818182,0.0,4.4646464646464645,6.181818181818182,124
7,9,93,150,6.573829164309713,2.8333333333333335,17.0,2.299619863770475,6.181818181818182,6.8,0.6181818181818182,14.166666666666666,6.181818181818182,72
7,10,94,150,6.1104104311909815,2.0606060606060606,22.666666666666668,5.75810752393807,2.9565217391304346,6.8,3.8434782608695652,20.60606060606061,2.9565217391304346,47
7,11,95,150,8.693690674447085,2.0606060606060606,22.666666666666668,4.537751239393516,6.181818181818182,9.714285714285715,3.5324675324675336,20.60606060606061,9.714285714285715,53
8,0,96,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
8,1,97,150,6.287792207792207,6.181818181818182,13.6,0.6776447658914597,6.181818181818182,6.181818181818182,0.0,7.418181818181818,6.181818181818182,140
8,2,98,150,6.4408658008658,6.181818181818182,9.714285714285715,0.9208537531630593,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,139
8,3,99,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
8,4,100,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
8,5,101,150,6.228917748917748,6.181818181818182,9.714285714285715,0.40516579612737574,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,148
8,6,102,150,5.271854357948179,2.0,9.714285714285715,2.1482269564168637,3.090909090909091,6.181818181818182,3.090909090909091,7.714285714285715,6.181818181818182,81
8,7,103,150,6.962716150645974,2.5185185185185186,34.0,2.7984304253135512,6.181818181818182,6.8,0.6181818181818182,31.48148148148148,6.181818181818182,82
8,8,104,150,9.219595768076317,2.9565217391304346,17.0,2.7390304254555873,9.714285714285715,9.714285714285715,0.0,14.043478260869566,9.714285714285715,108
8,9,105,150,6.14060606060606,3.090909090909091,6.181818181818182,0.35452007161145366,6.181818181818182,6.181818181818182,0.0,3.090909090909091,6.181818181818182,148
8,10,106,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
8,11,107,150,6.8217835497835475,6.181818181818182,13.6,1.939266139573988,6.181818181818182,6.181818181818182,0.0,7.418181818181818,6.181818181818182,133
9,0,108,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
9,1,109,150,6.267922077922077,6.181818181818182,9.714285714285715,0.5272372357065332,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,146
9,2,110,150,8.567109235598709,2.0,22.666666666666668,4.780914548788618,5.666666666666667,9.714285714285715,4.047619047619048,20.666666666666668,8.5,41
9,3,111,150,6.608623416646071,2.0606060606060606,22.666666666666668,3.3507553622907675,3.4,9.714285714285715,6.314285714285715,20.60606060606061,9.714285714285715,48
9,4,112,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
9,5,113,150,9.169108225108223,3.090909090909091,13.6,1.9538271330796602,9.714285714285715,9.714285714285715,0.0,10.509090909090908,9.714285714285715,131
9,6,114,150,5.574105029278714,2.0606060606060606,22.666666666666668,2.937403678237798,3.238095238095238,6.8,3.5619047619047617,20.60606060606061,9.714285714285715,28
9,7,115,150,8.014911255411253,2.125,17.0,2.822011274470514,6.181818181818182,9.714285714285715,3.5324675324675336,14.875,6.181818181818182,79
