season,week,n_active,n_elim,actual_elim,pred_pct,pred_rank,pct_match,rank_match,same_pred,V_elim_pct,V_elim_rank,pct_more_audience,rank_more_audience,margin_pct,margin_rank
11,9,4,1,Brandy,Brandy,Brandy,1,1,1,1.4401765023425306e-07,1.4401765023425306e-07,0,0,0.16658958757986086,0.09999999999999998
12,2,11,1,Mike Catherwood,Mike Catherwood,Mike Catherwood,1,1,1,1.4785597639099147e-09,1.4785597639099147e-09,0,0,0.05667627243633312,0.06818181818181818
12,3,10,1,Wendy Williams,Wendy Williams,Wendy Williams,1,1,1,3.956236845691371e-09,3.956236845691371e-09,0,0,0.07213997020737052,0.08181818181818182
12,4,9,1,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,1,1,1,9.335530204149179e-10,9.335530204149179e-10,0,0,0.06760162216402003,0.07777777777777778
12,5,8,1,Petra Nemcova,Petra Nemcova,Petra Nemcova,1,1,1,1.035785457267815e-09,1.035785457267815e-09,0,0,0.07802222473707793,0.08333333333333334
12,6,7,1,Chris Jericho,Chris Jericho,Chris Jericho,1,1,1,2.0228619947213407e-09,2.0228619947213407e-09,0,0,0.09533510063823704,0.11607142857142859
12,7,6,1,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,1,1,1,7.030404281898015e-10,7.030404281898015e-10,0,0,0.1028941197582993,0.059523809523809534
12,8,5,1,Romeo,Romeo,Romeo,1,1,1,2.5352382146944216e-08,2.5352382146944216e-08,0,0,0.12494546326410796,0.09999999999999998
12,9,4,1,Ralph Macchio,Ralph Macchio,Ralph Macchio,1,1,1,2.832946341635118e-07,2.832946341635118e-07,0,0,0.19688161083495023,0.19999999999999998
13,1,12,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),1,1,1,9.916535043386091e-10,9.916535043386091e-10,0,0,0.055672443013909244,0.07371794871794872
13,2,11,1,Elisabetta Canalis,Elisabetta Canalis,Elisabetta Canalis,1,1,1,1.2566310114043485e-08,1.2566310114043485e-08,0,0,0.04817966032906275,0.030303030303030297
13,3,10,1,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,1,1,1,2.168236587099706e-09,2.168236587099706e-09,0,0,0.054798333133055745,0.03636363636363636
13,4,9,1,Chynna Phillips,Chynna Phillips,Chynna Phillips,1,1,1,1.6070727622862631e-09,1.6070727622862631e-09,0,0,0.06844151410768132,0.06666666666666665
13,5,8,1,Carson Kressley,Carson Kressley,Carson Kressley,1,1,1,2.7100479400733694e-09,2.7100479400733694e-09,0,0,0.08506247811147964,0.10416666666666667
13,6,7,1,Chaz Bono,Chaz Bono,Chaz Bono,1,1,1,3.4977816528990782e-09,3.4977816528990782e-09,0,0,0.09982056670619463,0.11607142857142859
13,7,6,1,David Arquette,David Arquette,David Arquette,1,1,1,1.4131443156441068e-08,1.4131443156441068e-08,0,0,0.10370944927801468,0.09523809523809523
13,8,5,1,Nancy Grace,Nancy Grace,Nancy Grace,1,1,1,5.4018876455987755e-08,5.4018876455987755e-08,0,0,0.14378058522016873,0.15000000000000002
13,9,4,1,Hope Solo,Hope Solo,Hope Solo,1,1,1,7.202193994435889e-07,7.202193994435889e-07,0,0,0.1952895846419234,0.19999999999999998
14,2,12,1,Martina Navratilova,Martina Navratilova,Martina Navratilova,1,1,1,1.2409088669567543e-09,1.2409088669567543e-09,0,0,0.05638987389164532,0.07371794871794872
14,3,11,1,Jack Wagner,Jack Wagner,Jack Wagner,1,1,1,9.51564572392321e-10,9.51564572392321e-10,0,0,0.05284069611001286,0.05303030303030304
14,4,10,1,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,1,1,1,1.4596116302491984e-09,1.4596116302491984e-09,0,0,0.061002980911247534,0.07272727272727272
14,5,9,1,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,1,1,1,8.117546048997195e-10,8.117546048997195e-10,0,0,0.07723308567180498,0.09444444444444444
14,6,8,1,Gladys Knight,Gladys Knight,Gladys Knight,1,1,1,5.444240182877707e-09,5.444240182877707e-09,0,0,0.08964518256706834,0.09722222222222222
14,7,7,1,Jaleel White,Jaleel White,Jaleel White,1,1,1,1.7758651649243246e-09,1.7758651649243246e-09,0,0,0.08556832988837773,0.08928571428571427
14,8,6,2,Roshon Fegan | Melissa Gilbert,Melissa Gilbert | Roshon Fegan,Melissa Gilbert | Roshon Fegan,1,1,1,1.635915765541335e-09,1.635915765541335e-09,0,0,0.12346216624584569,0.0357142857142857
14,9,4,1,Maria Menounos,Maria Menounos,Donald Driver,1,0,0,3.191445715215081e-07,0.3333340350516283,1,0,0.16229983617863467,0.0
15,1,13,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,1,1,1,1.171423009417656e-09,1.171423009417656e-09,0,0,0.050008115902822184,0.06593406593406594
15,2,12,1,Joey Fatone,Joey Fatone,Joey Fatone,1,1,1,5.50325032079992e-10,5.50325032079992e-10,0,0,0.04639798184687054,0.04487179487179487
15,3,11,2,Helio Castroneves | Drew Lachey,Drew Lachey | Helio Castroneves,Drew Lachey | Helio Castroneves,1,1,1,4.615752569020055e-09,4.615752569020055e-09,0,0,0.055340108478313506,0.034090909090909095
